cast_id,character,credit_id,gender,id,name,order
249,Pilot David,585ab69fc3a3682fb8091219,2,1725801,Matija Mondi Matović,82
2,Bruce Wayne / Batman,52fe4781c3a36847f8139869,2,3894,Christian Bale,0
45,Dr. Pavel,52fe4781c3a36847f8139935,2,16607,Alon Aboutboul,12
174,Maid,562196c8c3a3680e190096a0,0,1172491,Claire Julien,24
172,Stryver,5621963e92514171d4009562,0,39659,Burn Gorman,26
173,Congressman,5621969dc3a3680e0e009e97,2,16841,Brett Cullen,27
175,Ross,56219708c3a3680e190096a9,2,22075,Reggie Lee,28
176,DWP Man,56219739c3a3680e1d009ba6,2,159879,Joseph Lyle Taylor,29
179,SWAT in Dive Bar,562197d3c3a3680e1d009bc0,2,1240417,Duane Henry,31
365,Sewer Thug #1,5744667fc3a3681233001525,2,1473276,Cameron Jack,34
233,Young Stock Broker (uncredited),56252c5a9251413980001f01,0,1167718,Isiah Adams,86
234,Gotham City Police Officer (uncredited),56252cb2c3a3680e1d013497,1,572221,Charlie Alejandro,87
235,Former Upscaler (uncredited),56252cf9c3a3680e1d01349c,2,1116933,Robert Arensen,88
236,Angry Mobster / Prisoner (uncredited),56252d43c3a3680e2001483e,0,1524158,Grant Babbitt,89
237,Gotham Rogues Fan (uncredited),56252d6e9251413980001f2a,0,139188,Fileena Bahris,90
238,Mercenary (uncredited),56258b759251413980002af5,0,1075845,Rick Bolander,91
239,Police Officer (uncredited),56258bb192514135b000724c,0,1283949,Kyle Patrick Brennan,92
240,Gotham City Police Officer (uncredited),56267a109251412f15000873,0,1344943,Scott Churchson,93
241,Gotham Rogues Coach (uncredited),56267aeec3a3680e200186f9,0,1240191,Bill Cowher,94
243,Reporter (uncredited),5626dd3f92514137bb0006c8,1,1163300,Stephanie Domini Ehlert,96
244,Older Upscale Person (uncredited),5627ca69c3a3687c52000500,0,93752,John Farrer,97
248,Stockbroker in Snipers Scoop - Stock Exchange (uncredited),5628314ec3a368487d00043e,2,1509064,Michael Wren Gucciardo,101
250,Police Officer (uncredited),56291cdc9251414ccf002762,0,1365976,Ed Heavey,103
251,Gotham Police Officer / Fan (uncredited),56291d5cc3a368488c002830,2,1098036,John W. Iwanonkiw,104
252,Gordon's Cop #4 (uncredited),56291dec9251414cd20026d0,0,1354413,Cindy Jackson,105
